lyrics,title
"Just put your dukes up, John,
Yeah, put your dukes up, John,
You were preened and sanitized
Struck dumb by good advice

Your integrity was bruised
Your celebrity a ruse
They pulled the rug from under
Made way for new pretenders

Change your tune and change your hair
Or your not going anywhere
Change your tune and change your hair
Or your not going anywhere
(Put your dukes up, John
Put your dukes up, John
Put your dukes up, John
Put your dukes up, John)

And be a C-Y-N-I-C
Be a C-Y-N-I-C

The profit margin blinds them
They groomed and ostracized him
His calm makes my blood boil
His calm makes my blood boil

Change your tune and change your hair
Or your not going anywhere
Change your tune and change your hair
Or your not going anywhere
(Put your dukes up, John
Put your dukes up, John
Put your dukes up, John
Put your dukes up, John)

And be a C-Y-N-I-C
Be a C-Y-N-I-C

Chang your tune and change your hair
Or your not going anywhere
(Put your dukes up, John,)
(Be a C-Y-N-I-C)","Put Your Dukes Up, John"
"[ALEX:]
Baby, I'm yours (Baby, I'm yours)
And I'll be yours until the stars fall from the sky,
Yours, until the rivers all run dry
In other words, until I die

[OISIN:]
Baby, I'm yours (Baby, I'm yours)
And I'll be yours until the sun no longer shines,
Yours, until the poets run out of rhyme
In other words, until the end of time

[ALEX:]
I'm gonna stay right here by your side,
Do my best to keep you satisfied
Nothin' in the world could drive me away
'Cause every day, you'll hear me say

Baby, I'm yours (Baby, I'm yours)
And I'll be yours until two and two is three,
Yours, until the mountains crumble to the sea
In other words, until eternity

Baby, I'm yours
(Til the stars fall from the sky)
Baby, I'm yours
(Til the rivers all run dry)
Baby, I'm yours
(Til the sun no longer shines)
Baby, I'm yours
(Til the poets run out of rhymes)",Baby I'm Yours
"Some old track... or brian strom

Brian,
Top marks for not tryin'
So kind of you to bless us with your effortlessness
We're grateful and so strangely comforted

And I wonder are you puttin' us under
Cause we can't take our eyes off the t-shirt and ties combination
Well see you later, innovator

Some want to kiss some want to kick you
There's not a net you couldn't slip through
Or at least that's the impression I get cause you're smooth and you're wet
And she's not aware yet but she's yours

She'll be sayin' use me
Show me the jacuzzi
I imagine that it's there on a plate
Your rendezvous rate means that you'll never be frightened to make them wait for a while
I doubt it's your style not to get what you set out to acquire
The eyes are on fire
You are the unforecasted storm

[Brian]
Calm, collected, and commandin'
(Top marks for not tryin')
You made the other stories standin'
With your renditions and jokes
Bet there's hundreds of blokes that have wept cause you've stolen their ...thunder
Are you puttin' us under

Cause we can't take our eyes off the t-shirt and ties combination
Well see you later, innovator",Brianstorm
"They've sped up to the point where they provoke
The punch-line before they have told the joke
Plenty of desperation to be seen
Staring at the television screen

They've sped up to the point where they provoke you
To tell the fucking punch-line before you have told the joke
""Sorry, sunshine, it doesn't exist
It wasn't in the top 100 list.""

And it's the thousandth time and it's even bolder,
Don't be surprised when you get bent over,
They told you, but you were dying for it

Saw it and she grabbed it and it wasn't what it seemed
The kids all dream of making it, whatever that means
Another variation on a theme
A tangle on the television and a magazine
D'you reckon that they do it for a joke?
D'you reckon that they make 'em take an oath?
That says that we are defenders
Of any poser or professional pretender around

When did your list
Replace the twist and turn as a fist
Replaced the kiss?
Don't concern us with your bollocks
I don't want your prayer
Save it for the morning after

And it's the thousandth time and it's even bolder,
Don't be surprised when you get bent over,
They told you, but you were gagging for it

Let's have a game on the teddy picker
Not quick enough, can I have it quicker?
Already thick, and you're getting thicker
Let's have a game on the teddy picker
Not quick enough, can I have it quicker?
Already thick, and you're getting thicker

Assuming that all things are equal?
Who'd want to be men of the people
When there's people like you?",Teddy Picker
"He knew what he wanted to say
But he did not want to word it
The dirty little Herbert
Was thinking an escape
But the place was well guarded

The guiltyness that started
Soon as the other part had stopped

D is for Delightful
And try and keep your trousers on
I think you should know you're his favourite worst nightmare
D is for...

Desperately trying to stimulate what it was that was alright
3 quarters of an hour ago
That had led him to be in a position
And every compromission
Another freak episode

He's nearing the brink but he thinks first
The parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
The parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
The parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
The parallel
I think you should know you're his favourite worst nightmare

D is for delightful
And try and keep your trousers on
You should know you're his favourite worst nightmare",D Is For Dangerous
"Running off over next doors garden
Before the hour is done
It's more a question of feeling
Than it is a question of fun
The confidence is the balaclava
I'm sure you'll baffle 'em good
Will the ending reek of salty cheeks
And runny makeup alone

Or will blood run down the face
Of a boy bewildered and scorned
And you'll find yourself in a skirmish
And you wish you'd never been born
And you tie yourself to the tracks
And there isn't no going back
And it's wrong wrong wrong
But we'll do it anyway cause we love a bit of trouble

Are you pulling her from a burning building
Or throwing her to the sharks
Can only hope that the ending is as pleasurable as the start
The confidence is the balaclava, I'm sure you baffle 'em straight
And it's wrong wrong wrong, she can hardly wait

That's right, he won't let her out his sight
Now the shaggers perform
And the daggers are drawn
Who's the crooks in this crime?

That's right, he won't let her out his sight
Now the shaggers perform
And the daggers are drawn
Who's the crooks in this...
Crime!

That's right, he won't let her out his sight
That's right, he won't let her out his sight
That's right, he won't let her out his sight

You'll be able to post any day of the most
For the sights of all time

You knew that it'd be trouble right before the very first kiss
Quiet and assuming but you heard that they were the naughtiest
She pleaded with you to take it off
But you resisted and fought
Sorry sweetheart, I'd much rather keep on the balaclava.",Balaclava
"You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when he used to be a rascal?

Oh that boy's a slag
The best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
Not as daft as they seem,
My love, when you dream them up...

Flicking through a little book of sex tips
Remember when the boys were all electric?
Now when she tells she's gonna get it
I'm guessing that she'd rather just forget it
Clinging to not getting sentimental
Said she wasn't going but she went still
Likes her gentlemen not to be gentle
Was it a Mecca dauber or a betting pencil?

Oh that boy's a slag
The best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
Not as daft as they seem,
My love, when you dream them up

Oh, Flo, where did you go?
Where did you go?
Where did you go? Whoa.

[2x]
Falling about
You took a left off Last Laugh Lane
You just sounded it out
You're not coming back again.

You used to get it in your fishnets
Now you only get it in your night dress (falling about)
Discarded all the naughty nights for niceness
Landed in a very common crisis (you took a left off Last Laugh Lane)
Everything's in order in a black hole
Everything was pretty in the past though (you were just sounding it out)
That Bloody Mary's lacking in Tabasco
Remember when he used to be a rascal? (you're not coming back again)",Fluorescent Adolescent
"In a foreign place, the saving grace was the feeling,
That it was her heart that he was stealing,
Oh, he was ready to impress and the fierce excitement
The eyes are bright, he couldn't wait to get away,
And I bet that Juliet was just the icing on the cake,
Make no mistake, no.

And even if somehow we could have shown you the place you wanted,
Well, I'm sure you could have made it that bit better on your own.

And I bet she told a million people that she'd stay in touch,
But all the little promises they don't mean much,
When there's memories to be made,
And I hope you're holding hands by new year's eve,
They made it far too easy to believe,
That true romance can't be achieved these days.

And even if somebody could have shown you the place you wanted,
Well, I'm sure you could have made it that bit better on your own,
You are the only ones who know",Only Ones Who Know
"Well the morning was complete.
There was tears on the steering wheel dripping on the seat,
Several hours or several weeks,
I'd have the cheek to say they're equally as bleak!

It's the beginning of the end, the car went up the hill,
And disappeared around the bend, ask anyone they'll tell you that.
It's these times that it tends,
The start to breaking up, to start to fall apart
Oh! hold on to your heart.

Do me a favour and break my nose!
Do me a favour and tell me to go away!
Do me a favour and stop asking questions!

She walked away, well her shoes were untied,
And the eyes were all red,
You could see that we'd cried, and I watched and I waited,
'Till she was inside, forcing a smile and waving goodbye.

Curiousity becomes a heavy load,
Too heavy to hold, too heavy to hold.
Curiousity becomes a heavy load,
Too heavy to hold, will force you to be cold.

And do me a favour, and ask if you need some help!
She said, do me a favour and stop flattering yourself!
How to tear apart the ties that bind, perhaps 'fuck off' might be too kind,
Perhaps 'fuck off' might be too kind",Do Me A Favour
"This house is a circus, berserk as fuck
We tend to see that as a perk though. Look
What it's done to your friends their memories are pretend
And the last thing that they want is for the feeling to end
This house is a circus, berserk as fuck
We tend to see that as a perk though. Look
What it's done to your friends their memories are pretend
And the last thing that they want is for the feeling to end
There's a,

Room full of trouble and there's lovers to be had
Those ones who make sinners out of such lovely lads
Scaling the corridors for maidens in the maze
And the anomaly is slipping to familiar ways

And we're forever unfulfilled
Can't think why
Like a search for murder clues
In dead man's eyes
Forever unfulfilled
And can't think why
Like a search for murder clues
In dead man's eyes

The more you open your mouth
The more you're forcing performance
And all the attention is leading me to feel important (completely obnoxious)
Now that we're here, we may as well go too far

Wriggling around and it's so that you won't forget
There's certainly some venom in the looks that you collect
Aimlessly gazing at the faces in the queue
Struggling with the notion that it's life not film

This house is a circus, berserk as fuck
We tend to see that as a perk though. Look
What it's done to your friends their memories are pretend
And the last thing that they want is for the feeling to end
This house is a circus, berserk as fuck
We tend to see that as a perk though. Look
What it's done to your friends their memories are pretend
And the last thing that they want is for the feeling to end",This House Is A Circus
"If you were there, beware
The serpent soul pinchers
Three hundred and fifty no thank yous and nobody flinches
Go on girl go on, give us something gruesome
We require your grief, the thugs help the thieves
As they're trying to rob the words from her gob
Take the source of the innocents

If you were there, beware
The serpent soul pinchers
Can't you sense she was never meant
To fill column inches
And you've had enough, what you're trying to dig up
Isn't there to be dug, the thieves help the thugs
As they're trying be the good grace of a sweetheart
Out to the point she'll comply

Why leave her on her own
If I'd have known then I wouldn't have said it
I wouldn't have said it if I would have known
Why leave her on her own
If I predicted tears then I wouldn't have said it
I wouldn't have said it if I would have known

There's a circle of witches, ambitiously vicious they are
Our attempts to remind them of reason won't get us that far
I don't know what it is that they want
I don't know what it is that they want
But I haven't got it to give
She hasn't got it to give","If You Were There, Beware"
"Do the bad thing,
Take off your wedding ring,
But it won't make it that much easier, it might make it worse,

Oh the night's like a whirlwind,
Somebody's girlfriend's talkin' to me but it's alright,
She's saying that he's not gonna slap me or try to attack me,
He's not the jealous type,
And I only need to get half an excuse and I'm away,
But when there's no excuses that's much easier to say,
I've been before,
And all these capers make her too forward to ignore,
Well, she's talking but I'm not entirely sure, oh

Do the bad thing,
Take off your wedding ring,
But it won't make it that much easier, it might make it worse,

Oh I'm stood at the bar and somebody's partner's talking to me,
But I don't know that is what she isn't she murmurs things to confirm That the tragedy is true,
And I knew 'how could she could have anyone she wants,
And I'm struggling to think of an immediate response,

Like I don't mind,
Be a big mistake,
For you to wait,
And let me waste your time,
Really love it's fine,
Really love it's fine,

And then the first time it occurred that there was something to destroy,

I knew before the invitation that there was this ploy,
Oh but she carried on suggesting, a struggle to refuse,
She said, ""It's the red wine this time,"" but that is no excuse.",The Bad Thing
"Old yellow bricks,
Love's a risk,
Quite the little Escapoligist
Looked so miffed,
When you wished,
For a thousand places better than this,

You are the fugitive,
But you don't know what you're running from,
You cant kid us,
And you couldn't trick anyone,
Houdini, love you don't know what you're running away from,

Who wants to sleep in the city that never wakes up?
Blinded by nostalgia,
Who wants to sleep in the city that never wakes up?

She was enraged by the way,
That the emperor put traps in the cage,
And the days she being dull,
Lead to nights reading beer bottles,

You're such a fugitive,
But you don't know what you're running from,
You cant kid us,
And you couldn't trick anyone,
Houdini, love you don't know what you're running away from,

Who wants to sleep in the city that never wakes up?
Blinded by nostalgia,
Who wants to sleep in a city that never wakes up?

You're at a loss,
Just because,
It wasn't all that you thought it was,

You are a fugitive but you don't know what you're running away from,

She said I want to sleep in the city that never wakes up,
And revel in nostalgia,
I know I said he wants to sleep in the city that never wakes up but,
Dorothy was right though",Old Yellow Bricks
"I'm going back to 505
If it's a 7 hour flight or a 45 minute drive
In my imagination you're waiting lying on your side
With your hands between your thighs

Stop and wait a sec
Oh when you look at me like that my darling
What did you expect
I probably still adore you with your hands around my neck
Or I did last time I checked

Not shy of a spark
A knife twists at the thought that I should fall short of the mark
Frightened by the bite though its no harsher than the bark
Middle of adventure, such a perfect place to start

I'm going back to 505
If it's a 7 hour flight or a 45 minute drive
In my imagination you're waiting lying on your side
With your hands between your thighs

But I crumble completely when you cry
It seems like once again you've had to greet me with goodbye
I'm always just about to go and spoil a surprise
Take my hands off of your eyes too soon

I'm going back to 505
If it's a 7 hour flight or a 45 minute drive
In my imagination you're waiting lying on your side
With your hands between your thighs

...and a smile",505
"007 and Brucey Wayne
Are shitting there ‘selves because there’s another name coming to claim
what is his to claim
10% faster with a sturdier frame

He’s certainly come into his own,
There’s one on his arm in every land that he roams
And two consecutive nights alone
Are a thing of the past as he has recently shown

They said he looks so handsome stood not dancing
Drawing you in like it’s boring to him
It’s a war you can’t win and the first and the last are two things you’ll never
Be my darling

Another roll around and another push and shove
Further away from the idea of love
And his conclusion it must be good
Oh wouldn’t the penny would drop with an incredible thud
They forgot to kick the tin, he knows where she’s going
But don’t know where she’s been
And as opposed to the ‘other thing’
He’ll worry about it when it’s trouble he’s in

They said he looks so handsome stood not dancing
Drawing you in like it’s boring to him
It’s a war you can’t win and the first and the last are two
Things you’ll never be my darling

Things you’ll never be my darling

(Two things you will never be my darling)

(Two things you’ll never be my darling)

They sneered and sniffed and spat at my chat up lines
Not to feel like a twat at times is hard
(But not for this kid, not when they come to you.)",Da Frame 2R
"She was marrying a matador and he was with the weather girl,
A very clever girl who stood out amongst several once
A terrible dilemma and forever he’ll regret this day he didn’t make the
Rescue from the bull ring
Sulking won’t get you nowhere son,
There’s blood on your chin where you’ve bitten your tongue
Smitten but might not be smitten for long if you’re still sitting she’ll soon
Be smitten and gone",Matador
"If you can summon the strength, tow me
I can't hold down the urgency
You've got to make your descent slowly
And oil up those sticky keys

Coax me out my low and have a spin of my propeller

It's a necessary evil
No cause for emergency
Borrowed the beak off a bald eagle
Oh, momentary synergy

Coax me out my low
Sink in to tomorrow
Coax me out my low and have a spin of my propeller

My propeller won't spin and I can't get it started on my own
When are you arriving?
My propeller won't spin and I can't get it started on my own
When are you arriving?
My propeller won't spin and I can't get it started on my own
When are you arriving?
My propeller",My Propeller
"Outside the café by the cracker factory
You were practicing a magic trick
And my thoughts got rude
As you talked and chewed
On the last of your pick'n'mix

Said, ""You're mistaken if you're thinking that I haven't been called 'cold' before""
As you bit into your strawberry lace
And offered me your attention in the form of a gobstopper
It's all you had left and it was going to waste

Your pasttimes consisted of the strange
And twisted and deranged
And I loved that little game you had called ""Crying Lightning""
And how you like to aggravate the ice-cream man on rainy afternoons

The next time that I caught my own reflection
It was on its way to meet you
Thinking of excuses to postpone
You never looked like yourself from the side
But your profile could not hide
The fact you knew I was approaching your throne

With folded arms you occupied the bench like toothache
Stood and puffed your chest out like you'd never lost a war
And though I tried so not to suffer the indignity of a reaction
There was no cracks to grasp or gaps to claw

And your past times consisted of the strange
And twisted and deranged
And I hate that little game you had called ""Crying Lightning""
And how you like to aggravate the icky man on rainy afternoons

Uninviting
But not half as impossible as everyone assumes
You are crying lightning

Your past times consisted of the strange
Twisted and deranged
And I hate that little game you had called ""Crying Lightning""
""Crying Lightning""
""Crying Lightning""
""Crying Lightning""

Your past times consisted of the strange,
And twisted and deranged
And I hate that little game you had called ""Crying...""",Crying Lightning
"I'm pinned down by the dark

Been fighting with my sheets and nearly crying in my sleep
Yes, I'm battling that well told gripe
The most frustrating type
You should have racing stripes the way you keep me in pursuit
You sharpen the heel of your boot and you press it in my chest
And you make me wheeze
Then to my knees you do promote me

I'm pinned down by the dark

A-N-I-M-A-L
She makes my head pirouette more than I would be willing to confess
D-A-N-G-E-R-O-U-S

The light it fidgets through, the thoughts will soon revert to you
About as bashful as a tribal dance
The first and final chance
And of course the audience of frighteners and fiends
Divided up into two teams
When the acrobat fell off the beam she broke everyone's heart.

I'm pinned down by the dark

A-N-I-M-A-L
She makes my head pirouette more than I would be willing to confess
D-A-N-G-E-R-O-U-S
D-A-N-G-E-R-O-U-S
The most unsuitable pet, it's been long enough now so let's make a mess lioness

Pinned down by the dark
I'm pinned down by the dark

D-A-N-G-E-R-O-U-S
A-N-I-M-A-L
D-A-N-G-E-R-O-U-S
A-N-I-M-A-L",Dangerous Animals
"Fools on parade cavort and carry on
For waiting eyes
That you would rather be beside than in front of
But she's never been the kind to be hollowed by the stares

She swam out of tonight's phantasm
Grabbed my hand and made it very clear
There's absolutely nothing for us here
It's a magnolia celebration
To be attempted on a Wednesday night
It's better than to get a reputation
As a miserable little tyke
At least that's the conclusion
She came to in this overture

The secret door swings behind us
She's saying nothing
She's just giggling along

Her arms were folded most indignant
Not looking like she was soon to leave
I had to squint in order to believe
And then like a butler pushing on a bookshelf
And unveiling the unexpected
I, who was earlier reluctant, was suddenly embarrassed and corrected
How could such a creature
Survive in such a habitat

The secret door swings behind us
She's saying nothing
She's just giggling along
And even if they were to find us
I wouldn't notice, I'm completely occupied

As all the fools on parade
Cavort and carry on for waiting eyes
Ones you would rather be beside than in front of
But she's never been the kind
To be hollowed by the stares
Fools on parade
Frolic and fuck about to make a gaze
Turn to a scribble on a page by a picture
That holds her absence
But you're daft to think she'd care

Fools on parade [3x]
Conduct a sing-along",Secret Door
"I was biting the time zone
And we embellished the banks of our bloodstreams
And threw caution to the colourful
Then we fell asleep in the car
Until the bumps woke me up in your grip
And the tide took me to your mouth
And then swept me back down to your palms

It's them that put me inside the reminder
That yours is the only ocean
(Yours is the only ocean)
That I want to swing from
Yours is the only ocean
That I want to hang on

I've got this ego mechanic
She's always trying to give me vitamins
Oh she'd be frightened of your reflection
I preferred her as a cartoon
If I could be someone else for a week
I'd still spend it chasing after you
Cos she's not shattering my attitude
No matter how she folds the potion

Yours is the only ocean
That I want to swing from
Yours is the only ocean
That I want to hang on to

I'm swinging on
Yours is the only ocean
Yours is the only ocean
Yours is the only ocean
Yours is the only ocean

Potion Approaching
Shield your eyes
Potion Approaching
Visualize
Holding a token
Swollen in size
Potion Approaching
Shield your eyes

Oh but if we're going to escape though
We really ought to think it through
Would you like me to build you a go kart?",Potion Approaching
"You showed me my tomorrow
Beside a box of matches
A welcome threatening stir

My hopes of being stolen
Might just ring true
Depends who you prefer

But if it's true you're gonna run away
Tell me where, I'll meet you there

Am I snapping the excitement
If I pack away the laughter, and tell you how it feels?

And does burden come to meet you
If I've questions of the feature that rolls on your dream reel

The day after you stole my heart
Everything I touched told me it would be better shared with you, with you

And now you're hiding in my soup
And this book reveals your face
And you're splashing in my eyelids
The concentration continually breaks
I did request the mark you cast didn't heal as fast
I hear your voice in silences
Will the teasing of the fire be followed by the thud?

In the jostling crowd
You're not allowed
To tell the truth
And the photo booth's a liar!

There's a sharpened explanation
But there's no screaming reason to enquire

I'd like to poke them in their prying eyes with things
They'd never see if it smacked them in their temples",Fire And The Thud
"I thought I saw you in The Battleship but it was only a look alike
She was nothing but a vision trick under the warning light
She was close, close enough to be your ghost
But my chances turned to toast when I asked her if I could call her your name

I thought I saw you in The Rusty Hook, huddled up in a wicker chair
I wandered over for a closer look and kissed whoever was sitting there
She was close and she held me very tightly until I asked awfully politely
""Please, can I call you her name?""

And I elongated my lift home
Yeah I let him go the long way round
I smelt your scent on the seat belt and kept my short cuts to myself

I thought I saw you in The Parrot's Beak messing with the smoke alarm
It was too loud for me to hear her speak and she had a broken arm
It was close, so close that the walls were wet
And she wrote it out in Letraset
""No, you can't call me her name""

Tell me where's your hiding place
I'm worried I'll forget your face
And I've asked everyone
I'm beginning to think I imagined you all along

I elongated my lift home
Yeah I let him go the long way round
I smelt your scent on the seat belt and kept my short cuts to myself

I saw your sister in The Cornerstone on the phone to the middle man
When I saw that she was on her own I thought she might understand
She was close, well you couldn't get much closer
She said, ""I'm really not supposed to, but, yes, you can call me anything you want""",Cornerstone
"I heard the truth was built to bend
A mechanism to suspend the guilt is what you will require
And still you've got to dance little liar

It's just like those fibs to pop and fizz
And you'll be forced to take that awful quiz
And you're bound to trip and she'll detect the fiction on your lips
And dig a contradiction up

And the clean coming will hurt
And you can never get it spotless
When there's dirt beneath the dirt
The liar takes a lot less time

I'm sure it's clear and plain to read
It's not an alibi you need just yet
Oh no, it's something for those beads of sweat
Yes that will get you back to normal

And after you have dabbed the patch
You'll breathe and then proceed to scratch the varnish off
That newly added calmness
So as not to raise any alarms too soon

And the clean coming will hurt
And you can never get it spotless
When there's dirt beneath the dirt

The liar takes a lot less time to decide on the saunter
Have you got itchy bones and in all your time alone
Can you hack your mind being riddled with the wrong memories?

And the clean coming will hurt
And you can never get it spotless
When there's dirt in between the dirt",Dance Little Liar
"Trudging through the morning and the tramp with the trampoline under his arm, shifts past your whiskers so stark is the charm but the barking alarm waits coiled until the corner is turned

And the bicycle wheels all struggle to move round in your muddy mind blatantly caked and unwilling to wind uncooperative time so he sits on the springs until the muck goes dry

All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall
All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall

What came first the chicken or the dickhead?
Split sleep reaps rewards from ill fitting thoughts
And twilight forced you to go on a walk, your legs start running and your head gets caught

Canopy 19 is perfectly placed for the reasonably frightening fall from the aftertaste
You'll have to slip away I am unhappy to say, behold is the crook in the hammock plays

All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall
All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall

Behold there's a crook in the hammock plays cruelly with the base of the scales
And fiddles with the feet on a balancing act
Gagged, bound and crafting a tale
Trailing wrapped in a gasp
Cruelly with the base and the scales
And fucking fiddles with the feet on a balancing act
Gagged, bound and crafting a tale
Trailing wrapped in a gasp

All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall
All the pretty visitors came and waved their arms and cast the shadow of a snake pit on the wall",Pretty Visitors
"Fiendish wonder in the carnival's wake
Dull caresses once again irritate
Tread softly stranger
Move over toward the danger that you seek

You think excitement has receded then the mirror distracts
The logic of the trance quickly reaches and grasps
Handsome and faceless and weightless your imagination runs

And now it's no ones fault but yours
At the foot of the house of cards
You thought you'd never get obsessed
You thought the wolves would be impressed
And you're a sinking stone
But you know what it's like to hold the jeweller's hands
That procession of pioneers all drowned

In the moonlight they're more thrilling those things that he knows
As he leads you through the grinning bubble blowers in the snow
Watching his exit was like falling off the ferry in the night

The inevitables gather to push you around
Any other voice makes such a punishing sound
It became laughter's assassin shortly after he showed you what it was

And now it's no ones fault but yours, at the foot of the house of cards
You thought you'd never get obsessed
You thought the wolves would be impressed
And you're a sinking stone
But you know what it's like to hold the jeweller's hands
That procession of pioneers all drowned

If you've a lesson to teach me I'm listening, ready to learn
There's no one here to police me I'm sinking in until the return
If you've a lesson to teach please don't deviate, don't be afraid
Without the last corner piece I can't calibrate, let's get it engraved

If you've a lesson to teach me I'm listening, ready to learn
There's no one here to police me I'm sinking in until the return
If you've a lesson to teach please don't deviate, don't be afraid
Without the last corner piece I can't calibrate, let's get it engraved

If you've a lesson to teach me I'm listening, ready to learn
There's no one here to police me I'm sinking in until the return
If you've a lesson to teach please don't deviate, don't be afraid
Without the last corner piece I can't calibrate, let's get it engraved",The Jeweller's Hands
"She's thunderstorms
Lying on her front
Up against the wall
She's thunderstorms

I've been feeling foolish
You should try it
She came and substituted
The peace and quiet for
Acrobatic blood flow
Concertina cheating heart beat
Rapid fire

She's thunderstorms
Lying on her front
Up against the wall
She's thunderstorms

Here is your host
Sounds as if she's pretty close
When the heat starts growing horns
She's thunderstorms

She's been loop the looping
Around my mind
Her motorcycle boots give me
This kind of acrobatic blood
Concertina cheating heart beat
Rapid fire

She's thunderstorms
Lying on her front
Up against the wall
She's thunderstorms
In an unusual place
When you're feeling far away
She does what the night does to the day

She's thunderstorms
Lying on her front
Up against the wall
She's thunderstorms
Thunderstorms
Thunderstorms",She's Thunderstorms
"Lately I've been seeing things
Belly button piercings
In the sky at night
When we're side by side

And I don't mean to rain on anybody's cabriolet
One of those games you're gonna lose
But you wanna play it just in case

Now it's getting dark and the sky looks sticky
More like black treacle than tar
Black treacle
Somebody told the stars you're not coming out tonight
And so they found a place to hide

Does it help you stay up late?
Does it help you concentrate?
Does it tune you in when you chew your chin?
Am I ruining your fun?

And you talk the talk alright
But do you walk the walk or catch the train?
You wanted it, you got it
But you don't want it now

Now it's getting dark and the sky looks sticky
More like black treacle than tar
Black treacle
Somebody told the stars you're not coming out tonight
And so they found a place to hide

Now I'm out of place and I'm not getting any wiser
I feel like the sundance kid behind the synthesizer
And I tried last night to pack away the laugh
Like a key under the mat
But it never seems to be there when you want it

Black treacle
Black treacle
Black treacle",Black Treacle
"I wanna build you up (Brick by brick)
I wanna break you down (Brick by brick)
I'm gonna reconstruct (Brick by Brick)
I wanna feel you love

Brick by brick (Ahhhhhh)
Brick by brick (Ahhhhhh)

I wanna steal your soul (Brick by brick)
I wanna rock and roll (Brick by Brick)
I wanna rock and roll (Brick by brick)
I wanna rock and roll

Brick by brick (Ahhhhhh)
Brick by brick (Ahhhhhh)

I wanna brick by brick (Brick by brick)
I wanna blow by blow (Brick by brick)
I wanna an episode (Brick by brick)
I wanna brick by brick, by brick, by

Brick by brick (Ahhhhhh)
Brick by brick (Ahhhhhh)
Brick by brick (Ahhhhhh)
Brick by brick (Ahhhhhh)",Brick By Brick
"Just when things are getting complicated
In the eye of the storm
She flicks a red hot revelation
Off the tip of her tongue
It does a dozen somersaults
And leaves you supercharged
Makes me wanna blow the candles out
Just to see if you glow in the dark

Shalalala
Shalalala
Shalalala
Shalalala

Home sweet home
Home sweet home
Home sweet booby trap
I took the batteries out my mysticism
And put them in my thinking cap
She's got a telescopic hallelujah
Hanging up on the wall
For when it gets too complicated
In the eye of the storm

Shalalala
Shalalala
Shalalala
Shalalala

And in a Hellcat-spangled cavern
When your judgment's on the run
And you're acting like a stranger
'Cause you thought it looked like fun
And did you ever get the feeling
That these are things she's said before
Her steady hands may well have done
The Devil's pedicure
What you waiting for
Sing another fucking shalalala

Shalalala
Shalalala
Shalalala",The Hellcat Spangled Shalalala
"Break a mirror
Roll the dice
Run with scissors
Through a chip pan fire fight
Go into business with a grizzly bear
But just don't sit down 'cause I've moved your chair

Find a well known hardman
And start a fight
Wear your shell suit
On bonfire night
Fill in a circular hole with a peg that's square
But just don't sit down 'cause I've moved your chair

Ooh... Yeah yeah yeah [x2]

Bite the lightning
And tell me how it tastes
Kung Fu fighting
On your roller skates
Do the macarena in the devils lair
But just don't sit down 'cause I've moved your chair

Ooh... Yeah yeah yeah [x3]",Don't Sit Down 'Cause I've Moved Your Chair
"I'm in a vest

Library pictures of the quickening canoe
The first of it's kind to get to the moon
Trust some ellipses to chase you round the room
Through curly straws and metaphors and goo!

Been watching all the neon blossom flickering
You look as if you've all forgotten where you've been
Going riding through the thunder suckle fuzz canyon
10, 9, 8, 7, 6, 5, 4
3, 2, 1

Library pictures of the quickening canoe
The first of it's kind to get to the moon
Give me an eanie, meanie, minie, mo
Or an ip, dip, dog, shit, rock and roll",Library Pictures
"Caricatures of your wrecking ball gown
In my mind all the time

I wanna be in that damsel patterned alley
Where you go for a smoke

And sorrow slow dances
The phones are lighting up
Taking no chances
Close but never close enough

Been watching cowboy films
On gloomy afternoons
Tinting the solitude
Put on your dancing shoes
And show me what to do
I know you've got the moves

All my own stunts
High noon has changed it's tune
Linking arms, sinking hearts

And sorrow slow dances
Around the edges of her eyes
Taking no chances
The last one out to win a prize

Been watching cowboy films
On gloomy afternoons
Tinting the solitude
Put on your dancing shoes
And show me what to do
I know you've got the moves

'Cause I'm from High Green, I'm from High Green",All My Own Stunts
